iter	Passed	Remaining
558	3171	2501
559	3176	2495
560	3180	2488
561	3185	2482
562	3189	2475
563	3195	2470
564	3200	2464
565	3207	2459
566	3212	2453
567	3217	2447
568	3221	2440
569	3225	2433
570	3230	2427
571	3234	2420
572	3239	2414
573	3243	2406
574	3247	2400
575	3252	2393
576	3257	2388
577	3263	2382
578	3266	2375
579	3270	2368
580	3275	2361
581	3278	2354
582	3282	2347
583	3286	2341
584	3292	2335
585	3295	2328
586	3300	2321
587	3304	2315
588	3308	2308
589	3311	2301
590	3315	2294
591	3319	2287
592	3323	2280
593	3326	2273
594	3330	2267
595	3334	2260
596	3338	2253
597	3341	2246
598	3345	2239
599	3349	2233
600	3355	2227
601	3360	2221
602	3364	2214
603	3368	2208
604	3372	2201
605	3376	2195
606	3380	2188
607	3384	2182
608	3389	2175
609	3392	2169
610	3396	2162
611	3401	2156
612	3405	2149
613	3410	2143
614	3414	2137
615	3419	2131
616	3424	2125
617	3428	2119
618	3435	2114
619	3441	2109
620	3447	2104
621	3455	2099
622	3461	2094
623	3466	2088
624	3471	2082
625	3475	2076
626	3479	2069
627	3484	2063
628	3487	2057
629	3491	2050
630	3495	2044
631	3499	2037
632	3503	2031
633	3507	2024
634	3511	2018
635	3515	2011
636	3519	2005
637	3523	1999
638	3526	1992
639	3531	1986
640	3535	1980
641	3538	1973
642	3542	1966
643	3546	1960
644	3550	1954
645	3554	1947
646	3558	1941
647	3563	1935
648	3566	1929
649	3571	1923
650	3581	1919
651	3594	1918
652	3601	1913
653	3606	1908
654	3610	1901
655	3614	1895
656	3618	1889
657	3623	1883
658	3628	1877
659	3632	1871
660	3636	1864
661	3641	1859
662	3647	1854
663	3656	1850
664	3665	1846
665	3670	1840
666	3674	1834
667	3679	1828
668	3683	1822
669	3687	1816
670	3691	1810
671	3696	1804
672	3700	1797
673	3704	1791
674	3709	1785
675	3713	1779
676	3717	1773
677	3721	1767
678	3725	1761
679	3729	1755
680	3733	1749
681	3737	1742
682	3741	1736
683	3745	1730
684	3749	1724
685	3754	1718
686	3759	1712
687	3763	1706
688	3768	1700
689	3771	1694
690	3775	1688
691	3780	1682
692	3783	1676
693	3788	1670
694	3793	1664
695	3798	1658
696	3801	1652
697	3805	1646
698	3809	1640
699	3813	1634
700	3817	1628
701	3822	1622
702	3828	1617
703	3833	1611
704	3838	1606
705	3845	1601
706	3854	1597
707	3859	1591
708	3863	1585
709	3867	1579
710	3872	1574
711	3877	1568
712	3882	1562
713	3888	1557
714	3894	1552
715	3900	1546
716	3905	1541
717	3910	1535
718	3914	1529
719	3919	1524
720	3923	1518
721	3926	1511
722	3930	1505
723	3935	1500
724	3939	1494
725	3944	1488
726	3949	1482
727	3953	1477
728	3958	1471
729	3963	1465
730	3968	1460
731	3973	1454
732	3978	1449
733	3982	1443
734	3987	1437
735	3991	1431
736	3995	1425
737	4000	1420
738	4004	1414
739	4009	1408
740	4013	1402
741	4016	1396
742	4021	1391
743	4026	1385
744	4030	1379
745	4035	1373
746	4040	1368
747	4046	1363
748	4053	1358
749	4062	1354
750	4068	1348
751	4073	1343
752	4077	1337
753	4081	1331
754	4086	1326
755	4090	1320
756	4094	1314
757	4099	1308
758	4103	1302
759	4107	1296
760	4110	1291
761	4115	1285
762	4119	1279
763	4123	1273
764	4127	1268
765	4131	1262
766	4136	1256
767	4140	1250
768	4145	1245
769	4150	1239
770	4154	1234
771	4159	1228
772	4165	1223
773	4171	1217
774	4176	1212
775	4181	1207
776	4187	1201
777	4191	1196
778	4196	1190
779	4201	1185
780	4205	1179
781	4209	1173
782	4213	1167
783	4217	1161
784	4220	1156
785	4225	1150
786	4229	1144
787	4233	1139
788	4237	1133
789	4242	1127
790	4247	1122
791	4253	1116
792	4257	1111
793	4261	1105
794	4267	1100
795	4272	1094
796	4275	1089
797	4281	1083
798	4285	1078
799	4289	1072
800	4293	1066
801	4298	1061
802	4302	1055
803	4306	1049
804	4312	1044
805	4318	1039
806	4322	1033
807	4326	1028
808	4331	1022
809	4335	1016
810	4339	1011
811	4343	1005
812	4349	1000
813	4353	994
814	4357	989
815	4362	983
816	4367	978
817	4371	972
